"year" "MS.name" "dlhp" "dlpop" "dlstock" "v" "udl" "hp"
2009 "Zurich" 0.0286198 0.00966999999999985 0.0059643 0.00052610494104246 62.871118096121 852000
2009 "Glattal-Furttal" 0.0440826 0.0230899999999998 0.0107927 0.00918412732758724 31.8225357722428 655000
2009 "Limmattal" 0.0504704 0.0198900000000002 0.0280132 0.00800834746315378 35.183333 744000
2009 "Knonaueramt" 0.0489526 0.0203000000000007 0.0222473 0.00990340521026442 16.942257960474 646000
2009 "Zimmerberg" 0.0431495 0.0083599999999997 0.0111485 0.00466129148369448 29.2350513816105 849000
2009 "Pfannenstiel" 0.0055299 0.00910999999999973 0.0070467 0.0129979879275654 30.3097571310665 937000
2009 "Zurcher Oberland" 0.0189047 0.0166299999999993 0.0056486 0.0105141013485785 19.8466673499444 560000
2009 "Winterthur" 0.0588264 0.012179999999999 0.0104208 0.00700090888992606 17.9435350058983 554000
2009 "Weinland" 0.0169649 0.0142299999999995 0.0349283 0.00958977091102824 12.6993227120569 500000
2009 "Zurcher Unterland" 0.0133519 0.014619999999999 0.0308895 0.0129065108144606 19.2680486287652 571000
2009 "Bern" 0.035974 0.00485999999999898 0.0158091 0.00749427738233357 21.7801660373167 543000
2009 "Erlach-Seeland" 0.0585613 0.00915999999999961 0.0922298 0.0120087336244541 12.6595581090254 428000
2009 "Biel" 0.0648975 0.00894999999999868 0.0283976 0.0175214528038316 26.2706393264459 469000
2009 "Jura bernois" 0.0501242 -0.000540000000000873 0.0187588 0.0289367429340511 6.14874244104819 363000
2009 "Oberaargau" 0.0541029 0.00624999999999964 0.0465117 0.015813151585356 11.3639640644775 397000
2009 "Burgdorf" 0.0529714 0.00168999999999997 0.0292864 0.0125748158379374 9.18892618868543 425000
2009 "Oberes Emmental" -0.0084982 0.00172999999999845 0.0452852 0.0132739498733735 7.08642327001665 363000
2009 "Aaretal" 0.0404353 0.00614999999999988 0.038414 0.0145166611679314 10.6517661961238 478000
2009 "Schwarzwasser" 0.0551896 0.00155100000000097 0.0622959 0.0147115756871854 9.02332085240257 413000
2009 "Thun" 0.024951 0.0033499999999993 0.0475798 0.0042774310066221 22.6264231484502 490000
2009 "Saanen-Obersimmental" 0.0485411 0.00990100000000105 0.1315308 0.00360528775537455 29.0415731849017 601000
2009 "Kandertal" 0.0176139 0.00228899999999932 0.0747881 0.00595847686435155 53.6958029259071 437000
2009 "Oberland-Ost" 0.0320163 0.00643999999999956 0.0980778 0.00423550615800541 60.474223336778 464000
2009 "Grenchen" 0.0340924 0.000449999999998951 0.0114603 0.0188987927338373 17.326043136271 407000
2009 "Laufental" 0.0304966 0.00537999999999883 0.0415812 0.0105886276471569 9.15815558483028 539000
2009 "Luzern" 0.0244756 0.0110099999999989 0.0109634 0.00493209785752807 21.3415318837339 570000
2009 "Sursee-Seetal" 0.0329657 0.0151000000000003 0.0420599 0.00470039226295144 10.7620849435919 470000
2009 "Willisau" 0.0274534 0.00863999999999976 0.0417385 0.00896821941663039 7.75718425171114 426000
2009 "Entlebuch" -0.029108 0.00442300000000095 0.0407381 0.0101356619366911 12.3165439936884 404000
2009 "Uri" 0.0196514 0.00491000000000064 0.0373602 0.0072661217075386 70.8148075171683 456000
2009 "Innerschwyz" 0.0473804 0.00882999999999967 0.0795317 0.00736307807995989 33.5888514580568 612000
2009 "Einsiedeln" 0.0407681 0.00816000000000017 0.0625296 0.0141281560477623 18.8777219694465 523000
2009 "March" 0.0614963 0.00531999999999933 0.0531073 0.00618338343809784 16.738795771657 758000
2009 "Sarneraatal" 0.039237 0.0154399999999999 0.0541229 0.0051071836570123 20.1517761209254 502000
2009 "Nidwalden" 0.0436373 0.00409000000000148 0.0399704 0.00928326503303504 30.7899033925467 641000
2009 "Glarner Unterland" 0.026998 0.00648999999999944 0.01 0.001 40.6804453811659 383000
2009 "Glarner Hinterland" 0.03617 -0.00565499999999908 0.0096 0.00015 55.5069936403366 321000
2009 "Zug" 0.0531182 0.0045699999999993 0.0322275 0.00284180612567098 18.1032403062919 827000
2009 "La Sarine" 0.0560484 0.0155299999999983 0.0430593 0.0107538876865755 15.6757235285815 452000
2009 "La Gruyere" 0.0685568 0.0218499999999988 0.0456963 0.0091948658109685 20.0478158366096 437000
2009 "Sense" 0.0475874 0.00881000000000043 0.0412922 0.00823503227242377 12.7341253614095 435000
2009 "Murten" 0.0689011 0.0159200000000013 0.0490484 0.00670881176622371 13.2783443311117 450000
2009 "Glane-Veveyse" 0.0706496 0.0190399999999986 0.0420265 0.00395975332684193 8.27806941060411 443000
2009 "Olten" 0.0612435 0.00527999999999906 0.0304699 0.0164488407483663 17.6785118605972 440000
2009 "Thal" 0.0343227 -0.00860899999999987 0.0253859 0.0187999373335422 5.69829197189608 367000
2009 "Solothurn" 0.0479851 0.00516000000000005 0.0212059 0.0158936537470017 17.5518807713236 454000
2009 "Basel-Stadt" 0.0264263 0.00653999999999932 -0.0054121 0.00902075051899571 75.1011603833288 680000
2009 "Unteres Baselbiet" 0.0392489 0.00576999999999828 0.0013847 0.00498771774505281 40.7851088945816 710000
2009 "Oberes Baselbiet" 0.0138841 0.00600000000000023 0.0153818 0.005992158409982 10.6088589345281 524000
2009 "Schaffhausen" 0.0451927 0.00468000000000046 0.0181103 0.010206245692169 12.0406388969957 431000
2009 "Appenzell A.Rh." 0.0605764 -1.99999999992428e-05 0.0189466 0.0111880466472303 10.1005395663212 417000
2009 "Appenzell I.Rh." 0.0048871 0.00889500000000076 0.0183239 0.012846865364851 16.8282333819299 557000
