Adjusted (in million USD),Original (in million USD),Painting,Image,Artist,Year,Date of sale,Rankat sale,Seller,Buyer,Auction house,Year_Clean,Price_Clean
$79.7,$69.6,Untitled [de],NA,Cy Twombly,1970,"November 12, 2014",NA,Nicola del Roscio[106],,"Christie's, New York[142]",1970,79.7
$79.7,$69.6,Four Marlons,NA,Andy Warhol,1966,"November 12, 2014",NA,WestSpiel[106],,"Christie's, New York[143]",1966,79.7
$79.5,$79.45,The Empire of Lights,NA,René Magritte,1961,"February 3, 2022",NA,Anne-Marie Crowet Gillon heirs,,"Sotheby's, London[144]",1961,79.5
$78.9,$65.5(¥425.5),Eagle Standing on Pine Tree[145],NA,Qi Baishi,1946,"May 22, 2011",NA,Liu Yiqian,Hunan TV & BroadcastIntermediary Co[146],China Guardian Auctions,1946,78.9
$78.7,$63.4,Men in Her Life,NA,Andy Warhol,1962,"November 8, 2010",NA,Jose Mugrabi,Sheikh Hamad bin Khalifa Al-Thani[147],Phillips de Pury & Company[148],1962,78.7
$77.5,$70.1,Contraste de formes,NA,Fernand Léger,1913,"November 13, 2017",NA,Anna-Maria [de] and Stephen Kellen [de] Foundation,,"Christie's, New York[149]",1913,77.5
$77.1,$67.45,La Gommeuse,NA,Pablo Picasso,1901,"November 5, 2015",NA,William I. Koch,,"Sotheby's, New York.[150][151]",1901,77.1
$77,$67.4,Buste de femme(Femme à la résille),NA,Pablo Picasso,1938,"May 11, 2015",NA,Steve Wynn,Joseph Lau[152],"Christie's, New York[31]",1938,77
$76.9,$35.2,Portrait of a Halberdier,NA,Pontormo,1537,"May 31, 1989",5,Chauncey Stillman,Getty Museum,"Christie's, New York",1537,76.9
$75.8,$66.3,L’Allée des Alyscamps,NA,Vincent van Gogh,1888,"May 5, 2015",NA,,,"Sotheby's, New York[153]",1888,75.8
$75.8,$66.2,Untitled,NA,Mark Rothko,1952,"May 13, 2014",NA,Private Collection,Anonymous,"Christie's, New York[100]",1952,75.8
$74.9,$66.3,Untitled XXV,NA,Willem de Kooning,1977,"November 15, 2016",NA,,,"Christie's, New York[154]",1977,74.9
$74.8,$62.1(¥402.5),Zhichuan Resettlement[155],NA,Wang Meng,1350,"June 4, 2011",NA,,,Beijing Poly Auction,1350,74.8
$74.7,$69.2,Femme au béret et à la robe quadrillée (Marie-Thérèse Walter),NA,Pablo Picasso,1937,"February 28, 2018",NA,Private collection,Harry Smith,"Sotheby's, London[156][157]",1937,74.7
$74.5,$65.1,Spring,NA,Édouard Manet,1881,"November 5, 2014",NA,Oliver Hazard Payne heirs[158],Getty Museum,"Christie's, New York[159]",1881,74.5
$74.4,$68.9,Woman as Landscape,NA,Willem de Kooning,1955,"November 13, 2018",NA,Barney A. Ebsworth estate,,"Christie's, New York[97]",1955,74.4
$74.3,$61.7,1949-A-No. 1 [de],NA,Clyfford Still,1949,"November 9, 2011",NA,City and County of Denver,,"Sotheby's, New York[160]",1949,74.3
$71.4,$71.4,Cabanes de bois parmi les oliviers et cyprès,NA,Vincent van Gogh,1889,"November 11, 2021",NA,Edwin L. Cox,,"Christie's, New York[161]",1889,71.4
$70.4,$70.35,Le Bassin Aux Nymphéas (1917-19),NA,Claude Monet,1917-19,"May 12, 2021",NA,"Private Collection, New York, United States",,"Sotheby's, New York[162]",1917,70.4
$70.4,$65.23   (HK$510.371),Juin-Octobre 1985,NA,Zao Wou-Ki,1985,"September 30, 2018",NA,Chang Qiu Dun[163],,"Sotheby's, Hong Kong[164]",1985,70.4
