"vpnr" "reiz.2" "rtime" "quali"
202 1 474.891891891892 0.946666666666667
202 2 402 0.96
203 1 430.771428571429 0.893333333333333
203 2 414.459459459459 0.946666666666667
204 1 423.441176470588 0.88
204 2 360.282051282051 1
205 1 447.314285714286 0.92
205 2 415.486486486487 0.973333333333333
207 1 470.210526315789 0.986666666666667
207 2 418.710526315789 0.986666666666667
208 1 474.230769230769 1
208 2 413.076923076923 1
210 1 407.184210526316 0.986666666666667
210 2 358.105263157895 0.986666666666667
213 1 454.973684210526 0.986666666666667
213 2 442.263157894737 0.986666666666667
220 1 557.894736842105 0.986666666666667
220 2 527.5 0.96
